nasa_id,title,date_created,media_type,keywords,secondary_creator,description,href
PIA16573,Heating Martian Sand Grains,2012-12-03T17:00:06Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/GSFC,"This plot of data from NASA Mars rover Curiosity shows the variety of gases that were released from sand grains upon heating in the Sample Analysis at Mars instrument, or SAM.",https://images-assets.nasa.gov/image/PIA16573/PIA16573~thumb.jpg
PIA16574,Atmospheric Loss on Mars,2012-12-03T17:00:07Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/GSFC,"This plot shows the first-ever look at the deuterium to hydrogen ratio measured from the surface of Mars, as detected by the Sample Analysis at Mars instrument, or SAM, on NASA Curiosity rover.",https://images-assets.nasa.gov/image/PIA16574/PIA16574~thumb.jpg
PIA16576,Chlorinated Compounds at Rocknest,2012-12-03T17:00:09Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/GSFC,"The first examinations of Martian soil by the Sample Analysis at Mars, or SAM, instrument on NASA Mars Curiosity rover show no definitive detection of Martian organic molecules at this point.",https://images-assets.nasa.gov/image/PIA16576/PIA16576~thumb.jpg
PIA16578,Gravity of the Moon Crust,2012-12-05T17:00:01Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/JPL-Caltech/CSM,"These maps of the moon show the Bouguer gravity anomalies as measured by NASA GRAIL mission. Red areas have stronger gravity, while blue areas have weaker gravity.",https://images-assets.nasa.gov/image/PIA16578/PIA16578~thumb.jpg
PIA16579,GRAIL Gravity Gradients,2012-12-05T17:00:02Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/JPL-Caltech/CSM,These maps of the near and far side of the moon show gravity gradients as measured by NASA GRAIL mission. Red and blue areas indicate stronger gradients due to underlying mass anomalies.,https://images-assets.nasa.gov/image/PIA16579/PIA16579~thumb.jpg
PIA16583,GRAIL Identifies Moon Dikes,2012-12-05T17:00:06Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']","Left: NASA/JPL-Caltech/CSM, Right: Photo Copyright ? Louis Maher",A profile across one of the linear gravity anomalies found by NASA GRAIL mission shows that it has higher gravity than the surroundings.,https://images-assets.nasa.gov/image/PIA16583/PIA16583~thumb.jpg
PIA16584,Moon Dike Map,2012-12-05T17:00:07Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL,Lunar Reconnais']",NASA/JPL-Caltech/CSM,This map of one side of the moon shows the location of some of the giant dikes identified by NASA GRAIL mission.,https://images-assets.nasa.gov/image/PIA16584/PIA16584~thumb.jpg
PIA16585,Lunar Gravity Gradients,2012-12-05T17:00:08Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/JPL-Caltech/CSM,This moon map shows the gravity gradients calculated by NASA GRAIL mission. Red and blue correspond to stronger gravity gradients.,https://images-assets.nasa.gov/image/PIA16585/PIA16585~thumb.jpg
PIA16586,Moon Gravity Field Using Prospector Data,2012-12-05T17:00:09Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/ARC/MIT,"This map shows the gravity field of the moon from the Lunar Prospector mission. The viewing perspective, known as a Mercator projection, shows the far side of the moon in the center and the nearside as viewed from Earth at either side.",https://images-assets.nasa.gov/image/PIA16586/PIA16586~thumb.jpg
PIA16587,GRAIL Gravity Field of the Moon,2012-12-05T17:00:10Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/ARC/MIT,"This map shows the gravity field of the moon as measured by NASA GRAIL mission. The viewing perspective, known as a Mercator projection, shows the far side of the moon in the center and the nearside as viewed from Earth at either side.",https://images-assets.nasa.gov/image/PIA16587/PIA16587~thumb.jpg
PIA16588,Closer Look at Lunar Highland Crust,2012-12-05T17:00:11Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/JPL-Caltech/IPGP,This image depicting the porosity of the lunar highland crust was derived using bulk density data from NASA GRAIL mission and independent grain density measurements from NASA Apollo moon mission samples as well as orbital remote-sensing data.,https://images-assets.nasa.gov/image/PIA16588/PIA16588~thumb.jpg
PIA16591,Hallowed Hollows,2012-12-07T19:10:31Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Hallowed Hollows,https://images-assets.nasa.gov/image/PIA16591/PIA16591~thumb.jpg
PIA16593,Arcuate Fractures,2012-12-12T16:30:19Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,This region of arcuate or curved fractures is located north of Apollinaris Mons as seen by NASA 2001 Mars Odyssey spacecraft.,https://images-assets.nasa.gov/image/PIA16593/PIA16593~thumb.jpg
PIA16597,Daedalia Planum,2012-12-17T16:30:19Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,Layer upon layer of volcanic flows make up Daedalia Planum as shown in this image from NASA 2001 Mars Odyssey spacecraft.,https://images-assets.nasa.gov/image/PIA16597/PIA16597~thumb.jpg
PIA16606,Sizzling Remains of a Dead Star,2013-01-07T22:29:02Z,image,"['Cassiopeia A', 'NuSTAR']",NASA/JPL-Caltech/DSS,"This new view of the historical supernova remnant Cassiopeia A, located 11,000 light-years away, was taken by NASA Nuclear Spectroscopic Telescope Array, or NuSTAR. While the star is long dead, its remains are still bursting with action.",https://images-assets.nasa.gov/image/PIA16606/PIA16606~thumb.jpg
PIA16609,Forecast for Exotic Weather Artist Concept,2013-01-08T22:28:09Z,image,"['Hubble Space Telescope,Spitzer Space Telescope']",NASA/JPL-Caltech,This artist conception illustrates the brown dwarf named 2MASSJ22282889-431026. NASA Hubble and Spitzer space telescopes observed the object to learn more about its turbulent atmosphere.,https://images-assets.nasa.gov/image/PIA16609/PIA16609~thumb.jpg
